run,seed,time_s,cv_best_score,test_accuracy,test_f1_spam,test_f1_macro,intercept,coef__num_links,coef__num_suspicious_words,coef__domain_reputation_num,coef__all_caps_ratio,coef__num_recipients,coef__has_attachment,coef__spf_pass,coef__dkim_pass,coef__from_replyto_match,coef__send_frequency
1,1000,4.87,0.9141695431576405,0.9166666666666666,0.9162011173184358,0.9166640945708201,-0.1315424628105899,0.7426902403511735,1.0356806310620401,1.0506951480408884,0.946726812899106,0.04440134562784568,0.9758853742902619,-1.2568414753405737,-1.2218387974571598,-1.0328023886644742,1.0190035815829712
2,1001,0.15,0.9142194191584965,0.9222222222222223,0.9222222222222223,0.9222222222222223,-0.11628868666383683,0.7816804240862982,0.942312850299548,1.0267558489001185,0.8954344327918131,0.05564655158183064,0.9569677655814868,-1.2113629242387298,-1.1557294833925074,-0.9986242874867103,1.0803056682550574
3,1002,0.19,0.9105572424048376,0.9138888888888889,0.9155313351498637,0.9138563191330056,-0.10185813142997753,0.7895947426739819,0.8967937216229256,1.016231966600725,0.8925301436784658,0.10672570789694538,1.0088748938199104,-1.275197408636265,-1.159509705042814,-1.0513945162792562,1.0867690728754613
4,1003,0.14,0.9154192415091025,0.9,0.9021739130434783,0.8999505928853755,-0.13217612882962482,0.8159777622652247,1.0088850289792992,0.9634472064143083,0.9105927429642253,0.13672248511579416,0.9669114977214575,-1.3253655766425834,-1.2503101740819649,-0.9841567582341292,1.0693841857746564
5,1004,0.2,0.9070717494979725,0.9055555555555556,0.9090909090909091,0.9054125065685759,-0.2898840073216966,1.2639351436824124,1.5970506559408173,1.7556726637831683,1.4623161828760407,-0.09201545647800535,1.604137718961237,-2.0548421017236356,-2.0238187820464284,-1.5827350365580082,1.708412917452374
6,1005,0.16,0.9118639901926053,0.9083333333333333,0.9105691056910569,0.9082760058369814,-0.3046156966803358,1.5601825779644785,2.0844342012972965,2.1708338603838717,1.924629054837339,0.11059187572764842,1.9223037223683055,-2.5345677709527257,-2.390270582797483,-1.9478147080786867,2.2995080022671375
7,1006,0.16,0.9213616498019178,0.8944444444444445,0.8961748633879781,0.8944151153098083,-0.2908489065757346,1.5233965191186998,1.7787032776048108,1.824162156803675,1.6210784801071,0.17692197433006834,1.7433019773146257,-2.2704884020429525,-2.0459834267062784,-1.7466307612675847,1.9492106972535657
8,1007,0.17,0.9142555834402865,0.9,0.9005524861878453,0.8999969134849841,-0.45025237243504035,1.405307822948534,2.019645533189803,2.0569186441336633,1.6806132061128813,0.08732956461758157,1.9045937840821545,-2.516781993176559,-2.223862339583689,-1.935575906036078,2.0698872982465164
9,1008,0.18,0.9201639161462223,0.8944444444444445,0.8978494623655914,0.8943270300333703,-0.01274315056699137,0.3411632618103841,0.3951248944177015,0.4357785668723173,0.4020577091023313,0.04366334285781807,0.40086658407023557,-0.500052159245564,-0.4659364176519633,-0.4351233280568496,0.4058399799226286
10,1009,0.17,0.8987068012634495,0.9361111111111111,0.936986301369863,0.9360987844877484,-0.0799432860719615,0.8021616880910095,1.0092188011633398,1.0371236659273697,0.8915985197375074,0.0955917936771481,0.9416350986419315,-1.2665078466083628,-1.1953501181695902,-0.9599064509507801,1.0564963181411222
11,1010,0.2,0.9082865819863777,0.9138888888888889,0.9159891598915989,0.9138350357862552,-0.08359669106214897,0.8129023832131395,0.9801446788501234,1.129798598998044,0.9035887691154426,0.07759291332179427,0.9842637732312665,-1.3046431360384925,-1.17691142041803,-0.9181986080162241,1.1273489138796924
12,1011,0.2,0.907074508804531,0.925,0.9260273972602739,0.9249855296160525,-0.27570673069144463,1.3610564197322776,1.60757561523672,1.7686452883877781,1.5235209215094483,0.030165456791657372,1.544856320067284,-2.168071302346749,-1.9439694953030806,-1.6434719478591413,1.903546625528112
13,1012,0.2,0.911881972645445,0.9194444444444444,0.9201101928374655,0.9194388499201334,-0.35146074739147365,1.4591818056288317,2.0313205317501475,1.9353579905112197,1.6806453673248498,-0.0514508274700616,1.9998717099611203,-2.5136217238643965,-2.3698024028837543,-1.9314282640075962,2.2086940770425634
14,1013,0.14,0.9166501277784802,0.9055555555555556,0.9060773480662984,0.9055526405135961,-0.39588481446700663,1.5560413818176724,2.1399012817070373,2.1978127641495666,1.8083607634916699,0.13535431632593486,2.0874625276352083,-2.4808467176413846,-2.4047145415730604,-2.0983757781528976,2.2589969226102453
15,1014,0.15,0.916561915031936,0.9222222222222223,0.9243243243243243,0.9221621621621622,-0.3251966350511989,1.551515473836937,1.971402001321311,2.168148111336962,1.6362544740898906,0.01714551073169854,1.8208896638832925,-2.5118011905462847,-2.4294532474945836,-1.88081142754063,2.211703625051952
